date, pm25, pm10, o3, no2, co
2021/3/1, 52, 28, 9, 12, 3
2021/3/2, 75, 39, 15, 18, 4
2021/3/3, 102, 26, 30, 8, 2
2021/3/4, 59, 15, 31, 8, 2
2021/3/5, 26, 13, 33, 12, 2
2021/3/6, 26, 19, 26, 11, 2
2021/3/7, 50, 24, 27, 7, 2
2021/3/8, 64, 15, 18, 11, 1
2021/3/9, 43, 24, 28, 9, 1
2021/3/10, 68, 19, 30, 3, 2
2021/3/11, 48, 13, 30, 5, 3
2021/3/12, 25, 12, 32, 3, 3
2021/3/13, 23, 14, 28, 3, 3
2021/3/14, 25, 15, 30, 6, 3
2021/3/15, 29, 16, 28, 8, 3
2021/3/16, 21, 10, 27, 7, 3
2021/3/17, 12, 13, 28, 12, 3
2021/3/18, 25, 10, 30, 5, 3
2021/3/19, 20, 17, 27, 6, 3
2021/3/20, 29, 17, 33, 4, 3
2021/3/21, 26, 13, 31, 8, 3
2021/3/22, 22, 26, 27, 13, 4
2021/3/23, 64, 34, 33, 13, 4
2021/3/24, 87, 29, 30, 15, 2
2021/3/25, 77, 14, 37, 7, 2
2021/3/26, 37, 12, 31, 3, 2
2021/3/27, 21, 16, 32, 4, 2
2021/3/28, 31, 15, 32, 7, 1
2021/3/29, 30, 23, 41, 15, 2
2021/3/30, 58, 34, 41, 17, 3
2021/3/31, 86, 28, 32, 12, 2
2020/10/1, 31, 10, 18, 8, 2
2020/10/2, 34, 15, 16, 5, 2
2020/10/3, 52, 5, 22, 2, 2
2020/10/4, 12, 4, 20, 4, 2
2020/10/5, 19, 7, 17, 5, 2
2020/10/6, 15, 9, 21, 5, 2
2020/10/7, 18, 8, 20, 6, 2
2020/10/8, 20, 7, 22, 9, 2
2020/10/9, 13, 5, 23, 5, 2
2020/10/10, 16, 8, 22, 8, 2
2020/10/11, 18, 8, 21, 8, 2
2020/10/12, 14, 12, 15, 8, 2
2020/10/13, 30, 10, 22, 6, 2
2020/10/14, 24, 7, 21, 4, 2
2020/10/15, 14, 10, 22, 8, 2
2020/10/16, 21, 16, 17, 12, 3
2020/10/17, 48, 12, 22, 11, 2
2020/10/18, 38, 10, 12, 11, 2
2020/10/19, 30, 14, 14, 9, 2
2020/10/20, 45, 8, 24, 4, 2
2020/10/21, 24, 10, 20, 7, 2
2020/10/22, 21, 15, 22, 14, 2
2020/10/23, 41, 7, 19, 4, 1
2020/10/24, 17, 4, 26, 3, 1
2020/10/25, 12, 7, 20, 5, 1
2020/10/26, 19, 9, 18, 6, 1
2020/10/27, 23, 8, 20, 6, 1
2020/10/28, 22, 12, 22, 5, 1
2020/10/29, 25, 13, 24, 4, 
2020/10/30, 28, 10, 24, 4, 
2020/10/31, 23, 13, 20, 4, 
2020/11/1, 27, 7, 27, 3, 2
2020/11/2, 25, 11, 26, 6, 2
2020/11/3, 21, 12, 22, 9, 2
2020/11/4, 21, 14, 13, 17, 4
2020/11/5, 35, 25, 12, 15, 4
2020/11/6, 59, 21, 5, 13, 4
2020/11/7, 60, 24, 2, 12, 5
2020/11/8, 71, 19, 11, 15, 4
2020/11/9, 54, 33, 1, 15, 5
2020/11/10, 80, 22, 10, 12, 3
2020/11/11, 69, 10, 21, 8, 2
2020/11/12, 31, 17, 9, 12, 3
2020/11/13, 46, 12, 18, 8, 3
2020/11/14, 41, 10, 27, 3, 2
2020/11/15, 29, 9, 25, 5, 2
2020/11/16, 19, 10, 20, 7, 2
2020/11/17, 30, 12, 17, 7, 2
2020/11/18, 31, 11, 28, 6, 2
2020/11/19, 23, 12, 23, 13, 2
2020/11/20, 23, 15, 18, 9, 2
2020/11/21, 40, 10, 21, 5, 2
2020/11/22, 23, 13, 14, 13, 4
2020/11/23, 24, 19, 9, 15, 3
2020/11/24, 61, 19, 5, 13, 3
2020/11/25, 60, 13, 15, 14, 3
2020/11/26, 38, 19, 19, 13, 3
2020/11/27, 51, 26, 11, 12, 4
2020/11/28, 81, 23, 11, 6, 2
2020/11/29, 71, 38, 18, 14, 4
2020/11/30, 104, 13, 22, 8, 3
2020/12/1, 21, 13, , 12, 4
2020/12/2, 44, 13, 11, 11, 3
2020/12/3, 44, 4, 19, 5, 2
2020/12/4, 18, 12, 14, 10, 3
2020/12/5, 35, 21, 5, 13, 4
2020/12/6, 70, 16, 14, 15, 3
2020/12/7, 53, 23, 4, 17, 4
2020/12/8, 73, 24, 3, 15, 4
2020/12/9, 75, 19, 3, 14, 3
2020/12/10, 60, 15, 5, 13, 3
2020/12/11, 52, 16, 1, 13, 4
2020/12/12, 61, 13, 20, 9, 4
2020/12/13, 43, 6, 18, 6, 2
2020/12/14, 25, 12, 9, 13, 3
2020/12/15, 44, 13, 8, 15, 2
2020/12/16, 48, 10, 13, 11, 2
2020/12/17, 37, 11, 15, 8, 2
2020/12/18, 30, 9, 13, 5, 2
2020/12/19, 33, 13, 17, 7, 2
2020/12/20, 35, 7, 17, 7, 2
2020/12/21, 24, 9, 22, 7, 2
2020/12/22, 20, 9, 20, 12, 3
2020/12/23, 34, 7, 23, 7, 2
2020/12/24, 20, 9, 24, 8, 2
2020/12/25, 20, 10, 22, 6, 2
2020/12/26, 27, 5, 24, 3, 2
2020/12/27, 17, 12, 19, 8, 2
2020/12/28, 42, 12, 19, 16, 3
2020/12/29, 39, 7, 17, 11, 2
2020/12/30, 20, 15, 14, 13, 3
2020/12/31, 54, 52, 5, 18, 5
2021/1/1, 119, 11, 1, 17, 4
2021/1/2, 41, 18, 14, 6, 3
2021/1/3, 60, 7, 15, 4, 2
2020/7/1, 18, 13, 25, 4, 2
2020/7/2, 28, 12, 26, 3, 1
2020/7/3, 22, 8, 22, 3, 1
2020/7/4, 19, 13, 27, 2, 1
2020/7/5, 29, 13, 21, 1, 1
2020/7/6, 25, 9, 25, 4, 1
2020/7/7, 19, 4, 17, 7, 1
2020/7/8, 15, 5, 8, 5, 2
2020/7/9, 13, 5, 24, 5, 1
2020/7/10, 13, 6, 26, 5, 1
2020/7/11, 20, 7, 26, 5, 1
2020/7/12, 18, 8, 39, 4, 1
2020/7/13, 21, 9, 22, 8, 2
2020/7/14, 21, 7, 32, 4, 2
2020/7/15, 16, 7, 20, 5, 2
2020/7/16, 22, 14, 15, 6, 2
2020/7/17, 29, 17, 29, 14, 2
2020/7/18, 51, 12, 22, 12, 2
2020/7/19, 40, 10, 24, 4, 1
2020/7/20, 23, 8, 26, 4, 1
2020/7/21, 19, 10, 23, 9, 1
2020/7/22, 13, 11, 37, 9, 1
2020/7/23, 21, 10, 24, 4, 2
2020/7/24, 25, 6, 15, 4, 2
2020/7/25, 30, 8, 22, 2, 1
2020/7/26, 14, 9, 21, 5, 2
2020/7/27, 22, 11, 24, 2, 1
2020/7/28, 21, 8, 26, 1, 1
2020/7/29, 17, 11, 44, 5, 1
2020/7/30, 29, 15, 55, 6, 2
2020/7/31, 43, 15, 28, 5, 2
2020/8/1, 42, 10, 26, 4, 1
2020/8/2, 25, 6, 24, 6, 2
2020/8/3, 19, 7, 31, 6, 1
2020/8/4, 22, 13, 45, 5, 1
2020/8/5, 31, 13, 46, 10, 2
2020/8/6, 36, 20, 85, 6, 2
2020/8/7, 54, 21, 82, 7, 2
2020/8/8, 58, 24, 55, 4, 2
2020/8/9, 69, 18, 68, 5, 2
2020/8/10, 55, 23, 73, 4, 2
2020/8/11, 66, 20, 82, 5, 2
2020/8/12, 64, 22, 75, 6, 2
2020/8/13, 59, 28, 48, 5, 2
2020/8/14, 86, 21, 48, 2, 2
2020/8/15, 73, 15, 49, 3, 2
2020/8/16, 56, 14, 30, 6, 2
2020/8/17, 51, 10, 25, 5, 2
2020/8/18, 40, 9, 35, 4, 2
2020/8/19, 27, 9, 25, 9, 2
2020/8/20, 22, 13, 30, 4, 2
2020/8/21, 35, 18, 29, 5, 2
2020/8/22, 32, 11, 24, 2, 2
2020/8/23, 27, 7, 25, 3, 2
2020/8/24, 22, 9, 23, 6, 2
2020/8/25, 29, 13, 24, 1, 2
2020/8/26, 32, 15, 22, 7, 2
2020/8/27, 33, 8, 19, 6, 2
2020/8/28, 22, 7, 25, 4, 2
2020/8/29, 19, 12, 25, 4, 2
2020/8/30, 25, 11, 27, 6, 1
2020/8/31, 16, 10, 24, 8, 2
2020/9/1, 17, 11, 30, 10, 2
2020/9/2, 34, 14, 18, 10, 2
2020/9/3, 45, 9, 23, 4, 2
2020/9/4, 17, 11, 21, 4, 2
2020/9/5, 20, 8, 24, 4, 2
2020/9/6, 23, 11, 26, 9, 2
2020/9/7, 25, 10, 13, 6, 2
2020/9/8, 25, 14, 13, 7, 2
2020/9/9, 35, 12, 24, 9, 2
2020/9/10, 32, 15, 30, 10, 2
2020/9/11, 36, 15, 23, 7, 2
2020/9/12, 39, 15, 22, 6, 2
2020/9/13, 37, 20, 40, 11, 3
2020/9/14, 55, 29, 45, 14, 4
2020/9/15, 78, 29, 39, 10, 3
2020/9/16, 78, 14, 24, 2, 1
2020/9/17, 21, 13, 28, 4, 2
2020/9/18, 22, 14, 30, 6, 2
2020/9/19, 30, 16, 36, 5, 2
2020/9/20, 43, 24, 39, 9, 2
2020/9/21, 61, 30, 34, 15, 3
2020/9/22, 75, 23, 23, 9, 2
2020/9/23, 65, 8, 25, 4, 2
2020/9/24, 16, 6, 22, 4, 2
2020/9/25, 15, 9, 24, 6, 2
2020/9/26, 23, 6, 21, 3, 2
2020/9/27, 22, 11, 5, 10, 2
2020/9/28, 42, 9, 22, 8, 2
2020/9/29, 22, 12, 13, 8, 2
2020/9/30, 42, 8, 15, 7, 2
2020/4/1, 26, 15, 30, 7, 2
2020/4/2, 40, 16, 34, 7, 2
2020/4/3, 35, 16, 36, 7, 3
2020/4/4, 43, 22, 40, 4, 2
2020/4/5, 54, 18, 30, 6, 2
2020/4/6, 54, 22, 37, 8, 2
2020/4/7, 50, 29, 41, 9, 2
2020/4/8, 72, 29, 40, 6, 2
2020/4/9, 69, 16, 27, 3, 2
2020/4/10, 29, 16, 33, 4, 2
2020/4/11, 33, 30, 41, 16, 3
2020/4/12, 78, 19, 31, 2, 1
2020/4/13, 37, 14, 33, 4, 1
2020/4/14, 35, 22, 28, 13, 2
2020/4/15, 47, 25, 36, 7, 2
2020/4/16, 60, 14, 29, 3, 2
2020/4/17, 25, 21, 23, 6, 2
2020/4/18, 46, 12, 34, 3, 2
2020/4/19, 24, 19, 35, 3, 2
2020/4/20, 24, 27, 38, 3, 2
2020/4/21, 29, 24, 40, 4, 2
2020/4/22, 37, 23, 49, 6, 2
2020/4/23, 50, 25, 37, 7, 2
2020/4/24, 56, 11, 34, 3, 2
2020/4/25, 26, 16, 33, 8, 2
2020/4/26, 47, 23, 40, 9, 2
2020/4/27, 66, 10, 30, 4, 2
2020/4/28, 39, 9, 28, 4, 2
2020/4/29, 41, 7, 30, 3, 2
2020/4/30, 19, 10, 31, 4, 2
2020/5/1, 23, 10, 32, 3, 2
2020/5/2, 29, 12, 31, 4, 2
2020/5/3, 37, 10, 34, 2, 1
2020/5/4, 34, 9, 36, 1, 1
2020/5/5, 18, 9, 36, 4, 1
2020/5/6, 19, 16, 41, 7, 2
2020/5/7, 44, 21, 43, 9, 2
2020/5/8, 62, 20, 47, 5, 2
2020/5/9, 60, 17, 33, 3, 1
2020/5/10, 50, 14, 27, 2, 2
2020/5/11, 20, 10, 33, 5, 2
2020/5/12, 20, 8, 28, 8, 2
2020/5/13, 19, 12, 33, 6, 2
2020/5/14, 19, 10, 28, 9, 2
2020/5/15, 27, 10, 31, 7, 2
2020/5/16, 28, 8, 35, 11, 2
2020/5/17, 31, 15, 31, 8, 2
2020/5/18, 40, 20, 29, 9, 2
2020/5/19, 45, 13, 33, 7, 2
2020/5/20, 47, 13, 44, 4, 2
2020/5/21, 42, 21, 30, 6, 2
2020/5/22, 48, 27, 31, 2, 1
2020/5/23, 47, 18, 24, 2, 1
2020/5/24, 44, 14, 25, 7, 2
2020/5/25, 34, 14, 34, 8, 2
2020/5/26, 37, 15, 29, 6, 1
2020/5/27, 40, 12, 29, 2, 1
2020/5/28, 28, 15, 36, 2, 1
2020/5/29, 32, 13, 41, 3, 2
2020/5/30, 33, 9, 32, 2, 1
2020/5/31, 23, 10, 35, 3, 2
2020/6/1, 28, 18, 42, 9, 2
2020/6/2, 47, 18, 32, 13, 2
2020/6/3, 66, 11, 30, 5, 2
2020/6/4, 12, 7, 26, 4, 1
2020/6/5, 16, 10, 25, 3, 1
2020/6/6, 17, 5, 25, 1, 1
2020/6/7, 17, 8, 24, 4, 1
2020/6/8, 13, 16, 29, 5, 1
2020/6/11, 38, 12, 38, 5, 2
2020/6/12, 51, 6, 43, 3, 2
2020/6/13, 27, 22, 28, 7, 2
2020/6/14, 77, 9, 29, 12, 2
2020/6/15, 29, 15, 31, 12, 2
2020/6/16, 46, 9, 35, 4, 2
2020/6/17, 31, 7, 34, 5, 2
2020/6/18, 29, 10, 32, 5, 3
2020/6/19, 41, 9, 27, 2, 4
2020/6/20, 22, 9, 28, 4, 4
2020/6/21, 27, 15, 25, 4, 4
2020/6/22, 32, 17, 42, 10, 2
2020/6/23, 40, 17, 50, 10, 2
2020/6/24, 46, 14, 45, 3, 2
2020/6/25, 39, 16, 60, 4, 2
2020/6/26, 49, 12, 26, 3, 2
2020/6/27, 61, 13, 28, 1, 1
2020/6/28, 23, 18, 25, 3, 1
2020/6/29, 24, 10, 21, 3, 1
2020/6/30, 23, 8, 24, 3, 1
2020/1/1, 139, 24, 7, 11, 2
2020/1/2, 72, 14, 21, 8, 1
2020/1/3, 33, 22, 22, 6, 1
2020/1/4, 41, 14, 21, 11, 1
2020/1/5, 24, 15, 16, 11, 1
2020/1/6, 43, 23, 13, 15, 2
2020/1/7, 46, 13, 18, 11, 2
2020/1/8, 32, 12, 12, 11, 2
2020/1/9, 34, 14, 23, 12, 1
2020/1/10, 24, 14, 20, 11, 1
2020/1/11, 29, 13, 23, 5, 1
2020/1/12, 28, 15, 18, 10, 1
2020/1/13, 35, 6, 23, 6, 1
2020/1/14, 22, 8, 25, 7, 1
2020/1/15, 20, 14, 17, 11, 1
2020/1/16, 38, 11, 27, 9, 1
2020/1/17, 30, 13, 22, 9, 1
2020/1/18, 21, 23, 25, 10, 1
2020/1/19, 35, 17, 7, 24, 2
2020/1/20, 28, 29, , 26, 3
2020/1/21, 76, 28, 5, 22, 3
2020/1/22, 75, 16, 8, 20, 3
2020/1/23, 49, 35, 4, 20, 3
2020/1/24, 93, 33, 6, 14, 2
2020/1/25, 85, 28, 13, 10, 2
2020/1/26, 76, 14, 18, 10, 2
2020/1/27, 48, 9, 28, 6, 1
2020/1/28, 16, 16, 27, 6, 1
2020/1/29, 25, 16, 25, 10, 1
2020/1/30, 38, 10, 18, 9, 1
2020/1/31, 26, 13, 29, 4, 1
2020/2/1, 32, 18, 25, 5, 1
2020/2/2, 32, 24, 25, 6, 1
2020/2/3, 51, 16, 26, 9, 1
2020/2/4, 28, 20, 23, 12, 2
2020/2/5, 24, 23, 18, 15, 2
2020/2/6, 40, 30, 11, 19, 3
2020/2/7, 71, 20, 11, 13, 3
2020/2/8, 56, 10, 32, 2, 2
2020/2/9, 28, 24, 30, 1, 2
2020/2/10, 37, 18, 30, 2, 2
2020/2/11, 28, 16, 29, 5, 2
2020/2/12, 23, 12, 22, 10, 2
2020/2/13, 28, 12, 21, 10, 2
2020/2/14, 28, 16, 26, 6, 2
2020/2/15, 35, 6, 33, 2, 2
2020/2/16, 18, 19, 31, 4, 1
2020/2/17, 34, 18, 28, 4, 2
2020/2/18, 31, 16, 27, 5, 2
2020/2/19, 28, 10, 28, 6, 2
2020/2/20, 28, 20, 27, 5, 2
2020/2/21, 32, 22, 31, 4, 2
2020/2/22, 39, 14, 29, 3, 2
2020/2/23, 27, 14, 27, 6, 2
2020/2/24, 20, 11, 28, 5, 2
2020/2/25, 17, 8, 28, 9, 2
2020/2/26, 16, 10, 22, 12, 2
2020/2/27, 25, 13, 25, 10, 2
2020/2/28, 27, 23, 30, 3, 1
2020/2/29, 45, 8, 29, 3, 2
2020/3/1, 19, 11, 19, 12, 2
2020/3/2, 30, 10, 27, 8, 2
2020/3/3, 24, 15, 27, 12, 2
2020/3/4, 32, 16, 17, 10, 3
2020/3/5, 50, 24, 26, 9, 2
2020/3/6, 65, 15, 26, 9, 2
2020/3/7, 37, 12, 25, 5, 2
2020/3/8, 36, 15, 25, 7, 2
2020/3/9, 32, 9, 26, 5, 2
2020/3/10, 27, 10, 28, 6, 2
2020/3/11, 20, 14, 32, 2, 2
2020/3/12, 24, 14, 28, 6, 2
2020/3/13, 30, 15, 28, 6, 2
2020/3/14, 39, 12, 27, 4, 2
2020/3/15, 35, 13, 26, 8, 2
2020/3/16, 41, 19, 25, 13, 2
2020/3/17, 42, 13, 26, 7, 2
2020/3/18, 26, 12, 26, 5, 2
2020/3/19, 27, 14, 28, 3, 2
2020/3/20, 26, 11, 26, 2, 2
2020/3/21, 23, 8, 31, 1, 2
2020/3/22, 20, 13, 27, 5, 2
2020/3/23, 26, 18, 29, 8, 2
2020/3/24, 46, 22, 32, 8, 2
2020/3/25, 60, 31, 36, 6, 2
2020/3/26, 73, 36, 34, 6, 2
2020/3/27, 89, 29, 35, 3, 1
2020/3/28, 62, 18, 30, 2, 1
2020/3/29, 23, , , , 
2019/10/1, 27, 8, 20, 7, 1
2019/10/2, 16, 8, 15, 9, 2
2019/10/3, 15, 8, 11, 10, 2
2019/10/4, 28, 8, 18, 7, 2
2019/10/5, 33, 11, 18, 6, 2
2019/10/6, 40, 14, 12, 8, 2
2019/10/7, 48, 13, 20, 9, 2
2019/10/8, 30, 11, 21, 9, 2
2019/10/9, 20, 11, 19, 7, 2
2019/10/10, 20, 11, 18, 6, 1
2019/10/11, 29, 5, 27, 6, 2
2019/10/12, 15, 12, 23, 6, 2
2019/10/13, 35, 15, 20, 11, 2
2019/10/14, 24, 10, 16, 11, 2
2019/10/15, 36, 9, 13, 8, 2
2019/10/16, 30, 10, 20, 9, 2
2019/10/17, 24, 9, 24, 6, 2
2019/10/18, 25, 9, 20, 6, 2
2019/10/19, 26, 16, 12, 12, 3
2019/10/20, 44, 12, 16, 8, 2
2019/10/21, 44, 17, 11, 13, 3
2019/10/22, 46, 17, 8, 13, 3
2019/10/23, 54, 20, 19, 10, 2
2019/10/24, 50, 12, 16, 8, 2
2019/10/25, 33, 9, 22, 5, 2
2019/10/26, 25, 12, 24, 5, 2
2019/10/27, 22, 10, 21, 11, 2
2019/10/28, 24, 10, 27, 12, 2
2019/10/29, 24, 17, 16, 10, 2
2019/10/30, 51, 21, 14, 12, 2
2019/10/31, 62, 18, 4, 13, 2
2019/11/1, 61, 10, 23, 5, 1
2019/11/2, 30, 7, 15, 6, 2
2019/11/3, 25, 11, 12, 11, 2
2019/11/4, 41, 13, 6, 15, 2
2019/11/5, 41, 9, 18, 11, 2
2019/11/6, 20, 13, 13, 12, 2
2019/11/7, 39, 12, 10, 13, 2
2019/11/8, 36, 13, 21, 10, 2
2019/11/9, 33, 19, 13, 12, 3
2019/11/10, 62, 7, 15, 10, 2
2019/11/11, 47, 9, 20, 8, 2
2019/11/12, 19, 8, 14, 13, 2
2019/11/13, 19, 12, 7, 12, 2
2019/11/14, 32, 24, 9, 11, 2
2019/11/15, 72, 18, 4, 17, 3
2019/11/16, 56, 21, 8, 13, 3
2019/11/17, 64, 11, 19, 15, 2
2019/11/18, 30, 9, 22, 15, 2
2019/11/19, 15, 20, 8, 21, 3
2019/11/20, 54, 25, 11, 11, 2
2019/11/21, 76, 16, 10, 15, 3
2019/11/22, 55, 18, 6, 10, 2
2019/11/23, 60, 25, 3, 13, 4
2019/11/24, 78, 19, 3, 16, 3
2019/11/25, 60, 12, 12, 10, 2
2019/11/26, 36, 8, 15, 8, 2
2019/11/27, 20, 10, 20, 7, 2
2019/11/28, 17, 14, 22, 14, 2
2019/11/29, 25, 13, 12, 20, 3
2019/11/30, 32, 23, 15, 19, 4
2019/12/1, 60, 14, 17, 18, 3
2019/12/2, 31, 14, 17, 13, 2
2019/12/3, 27, 25, 2, 25, 4
2019/12/4, 69, 31, 1, 21, 4
2019/12/5, 86, 14, 14, 10, 2
2019/12/6, 49, 14, 21, 6, 1
2019/12/7, 23, 14, 26, 4, 1
2019/12/8, 27, 14, 26, 9, 2
2019/12/9, 27, 16, 21, 13, 2
2019/12/10, 29, 15, 16, 17, 2
2019/12/11, 34, 11, 19, 12, 2
2019/12/12, 34, 8, 21, 10, 2
2019/12/13, 23, 15, 29, 6, 2
2019/12/14, 26, 16, 29, 5, 2
2019/12/15, 30, 15, 18, 16, 2
2019/12/16, 39, 13, 14, 14, 2
2019/12/17, 40, 15, 18, 12, 2
2019/12/18, 45, 17, 12, 12, 2
2019/12/19, 39, 9, 22, 8, 1
2019/12/20, 22, 8, 20, 4, 1
2019/12/21, 18, 9, 19, 5, 1
2019/12/22, 27, 14, 21, 6, 1
2019/12/23, 25, 19, 23, 7, 1
2019/12/24, 34, 12, 22, 7, 2
2019/12/25, 23, 18, 11, 12, 2
2019/12/26, 49, 16, 15, 10, 2
2019/12/27, 51, 25, 6, 15, 3
2019/12/28, 70, 24, 4, 16, 3
2019/12/29, 71, , , , 
2019/7/1, 31, 10, 25, 4, 2
2019/7/2, 18, 10, 27, 4, 2
2019/7/3, 21, 13, 30, 7, 2
2019/7/4, 23, 12, 31, 7, 2
2019/7/5, 29, 12, 21, 7, 3
2019/7/6, 39, 10, 26, 4, 2
2019/7/7, 19, 8, 24, 5, 2
2019/7/8, 19, 11, 30, 6, 2
2019/7/9, 26, 12, 19, 8, 2
2019/7/10, 31, 21, 28, 9, 2
2019/7/11, 57, 15, 20, 8, 2
2019/7/12, 49, 10, 26, 5, 2
2019/7/13, 32, 7, 24, 3, 2
2019/7/14, 17, 9, 20, 5, 2
2019/7/15, 20, 7, 23, 6, 2
2019/7/16, 24, 12, 28, 8, 2
2019/7/17, 31, 16, 27, 8, 2
2019/7/18, 48, 13, 25, 7, 2
2019/7/19, 36, 11, 26, 5, 2
2019/7/20, 37, 9, 25, 2, 2
2019/7/21, 28, 9, 21, 6, 2
2019/7/22, 25, 12, 65, 8, 3
2019/7/23, 42, 22, 84, 7, 3
2019/7/24, 57, 30, 87, 9, 3
2019/7/25, 72, 27, 85, 8, 3
2019/7/26, 65, 23, 52, 5, 2
2019/7/27, 61, 22, 30, 6, 3
2019/7/28, 65, 15, 30, 6, 2
2019/7/29, 35, 17, 43, 5, 2
2019/7/30, 33, 13, 21, 4, 2
2019/7/31, 28, 13, 33, 3, 2
2019/8/1, 35, 10, 28, 3, 2
2019/8/2, 34, 10, 27, 4, 2
2019/8/3, 27, 11, 37, 4, 2
2019/8/4, 31, 13, 27, 4, 2
2019/8/5, 37, 15, 28, 5, 2
2019/8/6, 31, 12, 27, 4, 2
2019/8/7, 29, 11, 28, 4, 2
2019/8/8, 26, 12, 19, 7, 2
2019/8/9, 40, 18, 27, 4, 2
2019/8/10, 32, 18, 25, 3, 2
2019/8/11, 37, 12, 23, 6, 2
2019/8/12, 25, 7, 27, 5, 2
2019/8/13, 19, 11, 26, 6, 2
2019/8/14, 36, 9, 26, 3, 2
2019/8/15, 30, 13, 24, 6, 2
2019/8/16, 31, 9, 18, 4, 1
2019/8/17, 29, 13, 25, 5, 2
2019/8/18, 29, 17, 27, 5, 1
2019/8/19, 29, 14, 33, 5, 2
2019/8/20, 25, 18, 33, 8, 2
2019/8/21, 38, 21, 37, 11, 3
2019/8/22, 48, 18, 38, 11, 2
2019/8/23, 42, 22, 62, 8, 3
2019/8/24, 57, 23, 74, 12, 4
2019/8/25, 66, 22, 66, 7, 2
2019/8/26, 69, 29, 83, 8, 3
2019/8/27, 78, 29, 40, 10, 3
2019/8/28, 89, 10, 31, 5, 2
2019/8/29, 34, 19, 28, 8, 2
2019/8/30, 43, 24, 47, 9, 4
2019/8/31, 64, 9, 25, 4, 1
2019/9/1, 23, 9, 28, 5, 1
2019/9/2, 18, 13, 29, 4, 2
2019/9/3, 24, 13, 17, 8, 2
2019/9/4, 31, 12, 24, 5, 2
2019/9/5, 21, 14, 22, 9, 2
2019/9/6, 27, 8, 22, 6, 2
2019/9/7, 24, 11, 25, 5, 2
2019/9/8, 21, 10, 26, 11, 2
2019/9/9, 21, 14, 25, 12, 3
2019/9/10, 40, 15, 12, 10, 2
2019/9/11, 47, 12, 20, 7, 2
2019/9/12, 31, 14, 22, 5, 2
2019/9/13, 27, 13, 28, 6, 2
2019/9/14, 26, 15, 26, 9, 2
2019/9/15, 39, 9, 18, 8, 2
2019/9/16, 24, 15, 22, 7, 2
2019/9/17, 31, 15, 23, 8, 2
2019/9/18, 24, 10, 23, 7, 2
2019/9/19, 17, 11, 24, 10, 2
2019/9/20, 27, 13, 28, 8, 2
2019/9/21, 31, 14, 33, 7, 2
2019/9/22, 36, 12, 19, 6, 2
2019/9/23, 34, 10, 16, 7, 2
2019/9/24, 26, 13, 13, 6, 2
2019/9/25, 37, 10, 19, 7, 2
2019/9/26, 34, 17, 21, 6, 1
2019/9/27, 35, 13, 26, 4, 1
2019/9/28, 22, 11, 20, 3, 1
2019/9/29, 17, 11, 22, 5, 1
2019/9/30, 24, 10, 27, 5, 1
2019/4/1, 18, 28, 24, 15, 3
2019/4/2, 68, 9, 28, 10, 3
2019/4/3, 23, 12, 23, 11, 3
2019/4/4, 38, 11, 36, 9, 3
2019/4/5, 30, 30, 23, 8, 3
2019/4/6, 84, 40, 43, 11, 3
2019/4/7, 106, 31, 39, 12, 3
2019/4/8, 79, 18, 39, 7, 3
2019/4/9, 53, 9, 33, 6, 2
2019/4/10, 21, 12, 34, 6, 2
2019/4/11, 33, 10, 34, 6, 2
2019/4/12, 27, 10, 35, 6, 2
2019/4/13, 23, 16, 34, 5, 2
2019/4/14, 48, 23, 38, 5, 3
2019/4/15, 61, 23, 34, 9, 3
2019/4/16, 56, 19, 27, 14, 3
2019/4/17, 52, 23, 47, 10, 3
2019/4/18, 53, 24, 46, 10, 3
2019/4/19, 56, 30, 60, 10, 3
2019/4/20, 67, 49, 60, 10, 4
2019/4/21, 120, 35, 59, 8, 4
2019/4/22, 82, 26, 48, 5, 2
2019/4/23, 41, 29, 40, 6, 3
2019/4/24, 48, 7, 28, 6, 2
2019/4/25, 10, 10, 31, 8, 2
2019/4/26, 23, 11, 31, 5, 2
2019/4/27, 21, 7, 27, 5, 2
2019/4/28, 12, 10, 35, 8, 3
2019/4/29, 19, 15, 36, 8, 2
2019/4/30, 38, 17, 37, 9, 3
2019/5/1, 42, 21, 30, 10, 3
2019/5/2, 57, 14, 34, 7, 2
2019/5/3, 17, 9, 30, 5, 2
2019/5/4, 11, 13, 34, 5, 2
2019/5/5, 21, 11, 30, 7, 2
2019/5/6, 19, 11, 28, 8, 2
2019/5/7, 26, 16, 28, 12, 3
2019/5/8, 39, 13, 29, 7, 2
2019/5/9, 24, 11, 34, 8, 2
2019/5/10, 19, 13, 38, 5, 2
2019/5/11, 21, 7, 35, 5, 2
2019/5/12, 11, 8, 35, 5, 2
2019/5/13, 12, 9, 38, 5, 2
2019/5/14, 15, 10, 38, 6, 2
2019/5/15, 17, 10, 35, 6, 2
2019/5/16, 22, 10, 26, 5, 2
2019/5/17, 33, 24, 29, 10, 3
2019/5/18, 71, 28, 33, 7, 3
2019/5/19, 84, 16, 30, 8, 3
2019/5/20, 50, 16, 34, 7, 3
2019/5/21, 44, 12, 34, 6, 3
2019/5/22, 25, 16, 43, 9, 2
2019/5/23, 32, 15, 32, 19, 3
2019/5/24, 37, 13, 29, , 3
2019/5/25, 25, 19, 25, 7, 3
2019/5/26, 40, 10, 27, 4, 2
2019/5/27, 17, 8, 32, 5, 2
2019/5/28, 14, 10, 36, 5, 2
