date, pm25, pm10, o3, no2, co
2024/3/23, 30, 14, 27, 3, 2
2024/3/24, 25, 15, 29, 5, 2
2024/3/25, 31, 15, 21, 8, 3
2024/3/26, 43, 11, 29, 6, 2
2024/3/27, 30, 8, 31, 5, 2
2024/3/28, 22, 8, 30, 3, 2
2024/3/29, 20, 6, 27, 7, 2
2024/3/30, 13, 12, 24, 8, 3
2024/3/31, 44, 11, 34, 6, 2
2023/10/1, 47, 20, 19, 11, 4
2023/10/2, 62, 14, 26, 5, 3
2023/10/3, 33, 12, 26, 3, 3
2023/10/4, 22, 13, 26, 4, 3
2023/10/5, 30, 17, 31, 6, 3
2023/10/6, 34, 21, 32, 4, 3
2023/10/7, 38, 13, 25, 4, 3
2023/10/8, 26, 18, 20, 8, 3
2023/10/9, 41, 21, 7, 11, 3
2023/10/10, 55, 26, , 5, 3
2023/10/11, 48, 8, , 8, 3
2023/10/12, 30, 14, , 6, 3
2023/10/13, 29, 12, , 2, 2
2023/10/14, 23, 7, , 3, 2
2023/10/15, 21, 10, , 8, 3
2023/10/16, 21, 9, , 4, 2
2023/10/17, 22, 16, , 6, 3
2023/10/18, 44, 9, , 7, 3
2023/10/19, 16, 10, , 7, 4
2023/10/20, 37, 7, , 3, 3
2023/10/21, 15, 7, , 4, 3
2023/10/22, 21, 14, , 9, 3
2023/10/23, 45, 9, , 6, 2
2023/10/24, 32, 10, , 10, 2
2023/10/25, 30, 12, , 9, 3
2023/10/26, 40, 11, , 10, 3
2023/10/27, 36, 11, , 5, 3
2023/10/28, 27, 6, , 2, 3
2023/10/29, 11, 10, , 7, 3
2023/10/30, 16, 7, , 10, 3
2023/10/31, 18, 8, , 4, 3
2023/11/1, 24, 7, , 1, 2
2023/11/2, 13, 7, , 5, 2
2023/11/3, 14, 6, , 3, 3
2023/11/4, 19, 7, , 3, 3
2023/11/5, 17, 8, , 5, 3
2023/11/6, 22, 8, , 7, 3
2023/11/7, 25, 8, , 6, 3
2023/11/8, 26, 9, , 8, 3
2023/11/9, 18, 7, , 9, 3
2023/11/10, 25, 8, , 7, 3
